ticket_id,status,product_area,request_type,response,justification,security_flag,attack_type,risk_score
11,replied,screen,feature_request,"Based on our documentation: --- title: ""hackerrank glossary"" title_slug: ""hackerrank-glossary"" source_url: ""[url] article_slug: ""3572240492-hackerrank-glossary"" last_updated_exact: ""mar 5, 2026, 7:38 pm"" last_updated_relative: ""last updated 2 months ago"" breadcrumbs: - ""screen"" - ""getting started"" --- hackerrank glossary _last updated: mar 5, 2026, 7:38 pm (last updated 2 months ago)_ here is a glossary of all the terms and ","Type='feature_request', Area='screen', Retrieved=3, Security='benign', Risk=30, mode=secure",false,benign,30
12,replied,general_support,bug,Thank you for contacting  support. We could not find specific documentation for this issue. Please contact our support team directly for personalised assistance.,"Type='bug', Area='general_support', Retrieved=0, Security='benign', Risk=40, mode=secure",false,benign,40
13,replied,interview,product_issue,"Based on our documentation: --- title: ""july 2025 release notes screen screen features available in the ai add-on package skills platform developer experience interview interview features available in the ai add-on package skillup engage"" title_slug: ""july-2025-release-notes-screen-screen-features-available-in-the-ai-add-on-package-skills-platform-developer-experience-interview-interview-features-available-in-the-ai-add-on-p","Type='product_issue', Area='interview', Retrieved=3, Security='benign', Risk=25, mode=secure",false,benign,25
14,replied,billing,product_issue,"Based on our documentation: --- title: ""july 2025 release notes screen screen features available in the ai add-on package skills platform developer experience interview interview features available in the ai add-on package skillup engage"" title_slug: ""july-2025-release-notes-screen-screen-features-available-in-the-ai-add-on-package-skills-platform-developer-experience-interview-interview-features-available-in-the-ai-add-on-p","Type='product_issue', Area='billing', Retrieved=3, Security='benign', Risk=25, mode=secure",false,benign,25
15,replied,api_integration,bug,"Based on our documentation: --- title: ""claude code on the web"" title_slug: ""claude-code-on-the-web"" source_url: ""[url] last_updated_iso: ""2026-03-16t20:56:14z"" article_id: ""14157303"" breadcrumbs: - ""claude code"" --- claude code on the web _last updated: 2026-03-16t20:56:14z_ claude code on the web runs claude code tasks remotely, working with code from your github repositories. this article explains how it works, when to us","Type='bug', Area='api_integration', Retrieved=3, Security='benign', Risk=40, mode=secure",false,benign,40
16,escalated,fraud_security,product_issue,"This issue requires attention from our specialist team. Please contact official support directly for secure, personalised assistance. We apologise for any inconvenience.","Security threat='fraud_risk', risk_score=90, mode=secure, escalated=True",true,fraud_risk,90
17,replied,community,bug,Thank you for contacting HackerRank support. We could not find specific documentation for this issue. Please contact our support team directly for personalised assistance.,"Type='bug', Area='community', Retrieved=0, Security='benign', Risk=40, mode=secure",false,benign,40
18,replied,screen,product_issue,"Based on our documentation: --- title: ""october 2024 release notes"" title_slug: ""october-2024-release-notes"" source_url: ""[url] article_slug: ""1189675016-october-2024-release-notes"" last_updated_exact: ""apr 9, 2025, 11:14 am"" last_updated_relative: ""last updated 1 year ago"" breadcrumbs: - ""general help"" - ""release notes"" --- october 2024 release notes _last updated: apr 9, 2025, 11:14 am (last updated 1 year ago)_ we’re exci","Type='product_issue', Area='screen', Retrieved=3, Security='benign', Risk=25, mode=secure",false,benign,25
19,replied,dispute_resolution,product_issue,Thank you for contacting Visa support. We could not find specific documentation for this issue. Please contact our support team directly for personalised assistance.,"Type='product_issue', Area='dispute_resolution', Retrieved=0, Security='benign', Risk=25, mode=secure",false,benign,25
20,replied,security,product_issue,"Based on our documentation: --- title: ""get started with custom connectors using remote mcp"" title_slug: ""get-started-with-custom-connectors-using-remote-mcp"" source_url: ""[url] last_updated_iso: ""2026-04-02t19:24:29z"" article_id: ""12073865"" breadcrumbs: - ""connectors"" - ""custom connectors"" --- get started with custom connectors using remote mcp _last updated: 2026-04-02t19:24:29z_ > custom connectors using remote mcp are av","Type='product_issue', Area='security', Retrieved=3, Security='benign', Risk=25, mode=secure",false,benign,25
21,replied,privacy,product_issue,"Based on our documentation: --- title: ""get started with claude in chrome"" title_slug: ""get-started-with-claude-in-chrome"" source_url: ""[url] last_updated_iso: ""2026-03-16t21:34:07z"" article_id: ""13266765"" breadcrumbs: - ""claude in chrome"" --- get started with claude in chrome _last updated: 2026-03-16t21:34:07z_ > claude in chrome is available in beta for all paid plans (pro, max, team, and enterprise) on the chrome web bro","Type='product_issue', Area='privacy', Retrieved=3, Security='benign', Risk=25, mode=secure",false,benign,25
22,escalated,cash_access,product_issue,"This issue requires attention from our specialist team. Please contact official support directly for secure, personalised assistance. We apologise for any inconvenience.","Security threat='fraud_risk', risk_score=85, mode=secure, escalated=True",true,fraud_risk,85
23,replied,privacy,product_issue,"Based on our documentation: --- title: ""release notes"" title_slug: ""release-notes"" source_url: ""[url] last_updated_iso: ""2026-04-17t15:00:00z"" article_id: ""13457652"" breadcrumbs: - ""claude"" --- release notes _last updated: 2026-04-17t15:00:00z_ april 2026 april 17, 2026 **claude design by anthropic labs** with opus 4.7, we also launched claude design, a new **[anthropic labs]([url] product that lets you collaborate with clau","Type='product_issue', Area='privacy', Retrieved=3, Security='benign', Risk=25, mode=secure",false,benign,25
24,escalated,general_support,invalid,"This issue requires attention from our specialist team. Please contact official support directly for secure, personalised assistance. We apologise for any inconvenience.","Security threat='policy_violation', risk_score=80, mode=secure, escalated=True",true,policy_violation,80
25,escalated,fraud_security,product_issue,"This issue requires attention from our specialist team. Please contact official support directly for secure, personalised assistance. We apologise for any inconvenience.","Security threat='fraud_risk', risk_score=90, mode=secure, escalated=True",true,fraud_risk,90
26,replied,account_management,bug,"Based on our documentation: --- title: ""release notes"" title_slug: ""release-notes"" source_url: ""[url] last_updated_iso: ""2026-04-17t15:00:00z"" article_id: ""13457652"" breadcrumbs: - ""claude"" --- release notes _last updated: 2026-04-17t15:00:00z_ april 2026 april 17, 2026 **claude design by anthropic labs** with opus 4.7, we also launched claude design, a new **[anthropic labs]([url] product that lets you collaborate with clau","Type='bug', Area='account_management', Retrieved=3, Security='benign', Risk=40, mode=secure",false,benign,40
27,replied,account_management,product_issue,"Based on our documentation: --- title: ""interview scorecards accessing interview scorecards custom scorecards using the scorecard during an interview view scorecard in interview report"" title_slug: ""interview-scorecards-accessing-interview-scorecards-custom-scorecards-using-the-scorecard-during-an-interview-view-scorecard-in-interview-report"" source_url: ""[url] article_slug: ""9842091173-interview-scorecards"" last_updated_exa","Type='product_issue', Area='account_management', Retrieved=3, Security='benign', Risk=25, mode=secure",false,benign,25
28,replied,account_management,product_issue,"Based on our documentation: --- title: ""visual and interactive content"" title_slug: ""visual-and-interactive-content"" source_url: ""[url] last_updated_iso: ""2026-03-16t20:30:19z"" article_id: ""15726505"" breadcrumbs: - ""claude"" - ""features and capabilities"" --- visual and interactive content _last updated: 2026-03-16t20:30:19z_ claude can respond with visual content when it’s clearer than plain text. some visuals display real-wo","Type='product_issue', Area='account_management', Retrieved=1, Security='benign', Risk=25, mode=secure",false,benign,25
29,replied,dispute_resolution,product_issue,"Based on our documentation: --- title: ""visa consumer support"" source_url: ""[url] final_url: ""[url] last_modified: ""2026-01-06t04:51:28.352z"" description: ""if you have questions about your visa card or need help with a lost or stolen card, visit visa’s consumer support page."" --- visa consumer support _last modified: 2026-01-06t04:51:28.352z_ get support need help? give us a call for lost or stolen credit cards, please call ","Type='product_issue', Area='dispute_resolution', Retrieved=3, Security='benign', Risk=25, mode=secure",false,benign,25
